"filename", "language", "XML", "JSON", "Markdown", "C#", "ShaderLab", "comment", "blank", "total"
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\Blueprint\ShizukuBluePrint.cs", "C#", 0, 0, 0, 131, 0, 49, 32, 212
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\GroupData.cs", "C#", 0, 0, 0, 25, 0, 3, 7, 35
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\ParameterEdge.cs", "C#", 0, 0, 0, 57, 0, 2, 9, 68
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Graph\ShizukuGraphBase.cs", "C#", 0, 0, 0, 70, 0, 0, 15, 85
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\BlueprintNodes\BlueprintEventNode.cs", "C#", 0, 0, 0, 59, 0, 0, 15, 74
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\BlueprintNodes\PropertyNodes.cs", "C#", 0, 0, 0, 173, 0, 43, 47, 263
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\BlueprintNodes\README_PropertyNodes.md", "Markdown", 0, 0, 176, 0, 0, 0, 68, 244
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\DerivedNodes\ShizikuAddOneNode.cs", "C#", 0, 0, 0, 21, 0, 0, 6, 27
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\DerivedNodes\ShizukuForNode.cs", "C#", 0, 0, 0, 11, 0, 0, 1, 12
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\DerivedNodes\ShizukuIfNode.cs", "C#", 0, 0, 0, 20, 0, 0, 6, 26
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\DerivedNodes\ShizukuLogNode.cs", "C#", 0, 0, 0, 18, 0, 0, 5, 23
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\DerivedNodes\ShizukuRootNode.cs", "C#", 0, 0, 0, 46, 0, 1, 6, 53
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\ParameterEdgePort.cs", "C#", 0, 0, 0, 68, 0, 3, 19, 90
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\ShizukuNodeBase.cs", "C#", 0, 0, 0, 40, 0, 0, 10, 50
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\ShizukuRunnableNode.cs", "C#", 0, 0, 0, 68, 0, 0, 13, 81
"u:\projects\game\Unity\Shizuku\Assets\Scripts\Node\ShizukuValueNode.cs", "C#", 0, 0, 0, 15, 0, 0, 2, 17
"u:\projects\game\Unity\Shizuku\Assets\TutorialInfo\Scripts\Editor\ReadmeEditor.cs", "C#", 0, 0, 0, 195, 0, 1, 47, 243
"u:\projects\game\Unity\Shizuku\Assets\TutorialInfo\Scripts\Readme.cs", "C#", 0, 0, 0, 14, 0, 0, 3, 17
"u:\projects\game\Unity\Shizuku\CHANGELOG.md", "Markdown", 0, 0, 55, 0, 0, 0, 25, 80
"u:\projects\game\Unity\Shizuku\Docs\ARCHITECTURE.md", "Markdown", 0, 0, 581, 0, 0, 0, 155, 736
"u:\projects\game\Unity\Shizuku\Docs\CONTRIBUTING.md", "Markdown", 0, 0, 328, 0, 0, 0, 105, 433
"u:\projects\game\Unity\Shizuku\Docs\NODE_DEVELOPMENT.md", "Markdown", 0, 0, 252, 0, 0, 0, 67, 319
"u:\projects\game\Unity\Shizuku\Docs\PROJECT_STRUCTURE.md", "Markdown", 0, 0, 308, 0, 0, 0, 73, 381
"u:\projects\game\Unity\Shizuku\Docs\QUICK_REFERENCE.md", "Markdown", 0, 0, 233, 0, 0, 0, 68, 301
"u:\projects\game\Unity\Shizuku\Docs\ROADMAP.md", "Markdown", 0, 0, 281, 0, 0, 0, 91, 372
"u:\projects\game\Unity\Shizuku\Packages\manifest.json", "JSON", 0, 48, 0, 0, 0, 0, 1, 49
"u:\projects\game\Unity\Shizuku\Packages\packages-lock.json", "JSON", 0, 474, 0, 0, 0, 0, 1, 475
"u:\projects\game\Unity\Shizuku\ProjectSettings\SceneTemplateSettings.json", "JSON", 0, 121, 0, 0, 0, 0, 0, 121
"u:\projects\game\Unity\Shizuku\README.md", "Markdown", 0, 0, 702, 0, 0, 0, 212, 914
"Total", "-", 41510, 643, 2916, 2740, 246, 342, 1869, 50266
